,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
518,Pau Cabanes,ESP,MF,Alavés,es  La Liga,20-022,2005.0,3,131.0,44.0,5.4,1.5,1,58.0,0,2,37.0,3,1.0,1.0,1.0,0.0,0.0,0.39,1.9,2.0,-0.1,-0.1,0.03
519,Rémy Cabella,FRA,"FW,MF",Lille,fr  Ligue 1,35-003,1990.0,20,892.0,45.0,39.6,9.9,11,71.0,2,9,13.0,1,1.7,13.0,11.0,2.0,0.2,-0.53,16.6,13.0,3.6,0.37,0.11
520,Leandro Cabrera,URU,DF,Espanyol,es  La Liga,33-267,1991.0,22,1890.0,86.0,77.8,21.0,21,88.0,20,1,45.0,0,0.91,21.0,30.0,-9.0,-0.43,0.07,16.6,32.1,-15.5,-0.74,0.08
521,Liberato Cacace,NZL,"DF,MF",Empoli,it  Serie A,24-165,2000.0,24,1474.0,61.0,58.5,16.4,15,86.0,10,9,20.0,4,0.79,12.0,35.0,-23.0,-1.4,-1.49,13.2,25.7,-12.6,-0.77,-0.54
522,Anthony Caci,FRA,DF,Mainz 05,de  Bundesliga,27-253,1997.0,24,1971.0,82.0,87.6,21.9,24,82.0,6,0,,0,1.79,41.0,23.0,18.0,0.82,1.47,31.8,28.6,3.2,0.15,0.46
523,Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,fr  Ligue 1,27-351,1997.0,15,732.0,49.0,32.5,8.1,9,67.0,2,6,21.0,1,1.13,5.0,20.0,-15.0,-1.84,-0.84,8.3,18.2,-9.9,-1.21,-0.03
524,Killian Cahill,IRL,GK,Brighton,eng  Premier League,21-128,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
525,Moisés Caicedo,ECU,MF,Chelsea,eng  Premier League,23-129,2001.0,28,2451.0,88.0,97.3,27.2,28,88.0,23,0,,0,1.75,51.0,35.0,16.0,0.59,-0.72,54.6,36.8,17.8,0.66,2.05
526,Marc-Aurèle Caillard,FRA,GK,Lille,fr  Ligue 1,30-303,1994.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
527,Tom Cairney,SCO,MF,Fulham,eng  Premier League,34-050,1991.0,18,419.0,23.0,16.6,4.7,2,68.0,0,16,18.0,7,1.17,10.0,8.0,2.0,0.43,0.39,7.5,6.0,1.5,0.33,0.1
528,Jens Cajuste,SWE,MF,Ipswich Town,eng  Premier League,25-213,1999.0,21,1344.0,64.0,53.3,14.9,18,73.0,0,3,10.0,2,0.71,16.0,31.0,-15.0,-1.0,0.3,17.3,31.1,-13.8,-0.93,0.25
529,Davide Calabria,ITA,DF,Bologna,it  Serie A,28-095,1996.0,5,281.0,56.0,11.2,3.1,3,90.0,3,2,6.0,1,2.4,5.0,4.0,1.0,0.32,-0.04,4.4,2.8,1.5,0.49,0.12
530,Davide Calabria,ITA,DF,Milan,it  Serie A,28-095,1996.0,7,316.0,45.0,12.5,3.5,4,72.0,0,3,10.0,9,1.71,3.0,5.0,-2.0,-0.57,-1.06,6.7,3.3,3.5,0.98,0.44
531,Riccardo Calafiori,ITA,DF,Arsenal,eng  Premier League,22-296,2002.0,17,925.0,54.0,36.7,10.3,11,72.0,3,6,23.0,2,2.06,26.0,12.0,14.0,1.36,0.57,20.2,9.7,10.5,1.02,0.52
532,Luca Caldirola,ITA,DF,Monza,it  Serie A,34-038,1991.0,7,490.0,70.0,19.4,5.4,6,80.0,4,1,12.0,9,0.43,3.0,8.0,-5.0,-0.92,-0.03,3.5,6.2,-2.7,-0.49,0.15
533,Fernando Calero,ESP,"DF,MF",Espanyol,es  La Liga,29-178,1995.0,11,372.0,34.0,15.3,4.1,3,88.0,1,8,13.0,9,1.82,4.0,4.0,0.0,0.0,0.52,3.3,7.3,-4.0,-0.97,-0.26
534,Duje Ćaleta-Car,CRO,DF,Lyon,fr  Ligue 1,28-175,1996.0,15,1247.0,83.0,55.4,13.9,14,89.0,12,1,8.0,8,1.6,23.0,19.0,4.0,0.29,-0.7,23.9,20.0,3.8,0.28,0.15
535,Hakan Çalhanoğlu,TUR,MF,Inter,it  Serie A,31-031,1994.0,20,1291.0,65.0,51.2,14.3,18,69.0,4,2,24.0,1,2.15,33.0,14.0,19.0,1.32,0.08,26.1,11.8,14.3,0.99,0.1
536,Alessandro Calligaris,ITA,GK,Inter,it  Serie A,20-004,2005.0,0,,,,,0,,0,0,,14,,,,,,,,,,,
537,Dominic Calvert-Lewin,ENG,FW,Everton,eng  Premier League,27-360,1997.0,22,1574.0,72.0,62.5,17.5,19,77.0,8,3,35.0,0,1.05,17.0,17.0,0.0,0.0,0.38,17.5,23.5,-6.0,-0.34,-0.52
538,Abdoulaye Camara,FRA,MF,Montpellier,fr  Ligue 1,16-164,2008.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
539,Dawda Camara,MTN,FW,Girona,es  La Liga,22-127,2002.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
540,Drissa Camara,CIV,"MF,FW",Parma,it  Serie A,23-021,2002.0,17,381.0,22.0,15.1,4.2,1,57.0,0,16,20.0,10,0.88,4.0,11.0,-7.0,-1.65,-1.36,6.9,9.0,-2.1,-0.5,0.0
541,Issiaga Camara,GUI,MF,Nice,fr  Ligue 1,20-037,2005.0,4,20.0,5.0,0.9,0.2,0,,0,4,5.0,12,1.0,0.0,2.0,-2.0,-9.0,-9.85,0.6,0.9,-0.3,-1.31,-1.96
542,Lamine Camara,SEN,MF,Monaco,fr  Ligue 1,21-069,2004.0,21,1474.0,70.0,65.5,16.4,18,80.0,8,3,13.0,0,1.9,31.0,20.0,11.0,0.67,-0.02,36.5,15.3,21.1,1.29,0.43
543,Mahdi Camara,FRA,"MF,FW",Brest,fr  Ligue 1,26-254,1998.0,25,1893.0,76.0,84.1,21.0,22,84.0,12,3,16.0,0,1.44,30.0,31.0,-1.0,-0.05,0.2,32.4,31.3,1.1,0.05,1.74
544,Ousmane Camara,FRA,DF,Angers,fr  Ligue 1,22-005,2003.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
545,Francesco Camarda,ITA,"FW,MF",Milan,it  Serie A,17-001,2008.0,9,161.0,18.0,6.4,1.8,1,65.0,0,8,12.0,12,1.11,3.0,3.0,0.0,0.0,-0.38,4.4,3.6,0.8,0.43,-0.18
546,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,es  La Liga,22-121,2002.0,13,683.0,53.0,28.1,7.6,7,81.0,4,6,19.0,1,2.08,17.0,6.0,11.0,1.45,0.42,13.6,6.8,6.8,0.89,-0.04
547,Nicolò Cambiaghi,ITA,FW,Bologna,it  Serie A,24-073,2000.0,8,226.0,28.0,9.0,2.5,1,65.0,0,7,23.0,1,2.13,5.0,2.0,3.0,1.19,0.92,4.6,2.2,2.4,0.96,0.64
548,Andrea Cambiaso,ITA,"DF,FW",Juventus,it  Serie A,25-019,2000.0,25,1788.0,72.0,71.0,19.9,20,83.0,15,5,25.0,0,1.8,28.0,15.0,13.0,0.65,-0.21,27.6,18.2,9.3,0.47,0.01
549,Axel Camblan,FRA,"MF,FW",Brest,fr  Ligue 1,21-193,2003.0,2,26.0,13.0,1.2,0.3,0,,0,2,13.0,6,1.5,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.1,0.4,0.63
550,Sergio Camello,ESP,FW,Rayo Vallecano,es  La Liga,24-029,2001.0,23,1134.0,49.0,46.7,12.6,14,64.0,0,9,27.0,0,1.52,14.0,15.0,-1.0,-0.08,-0.15,15.0,14.9,0.1,0.01,-0.12
551,José Campaña,ESP,MF,Las Palmas,es  La Liga,31-284,1993.0,17,929.0,55.0,38.2,10.3,12,68.0,0,5,24.0,4,1.24,10.0,13.0,-3.0,-0.29,0.43,8.9,14.1,-5.2,-0.5,0.67
552,Thomas Campaniello,ITA,FW,Empoli,it  Serie A,17-010,2008.0,2,24.0,12.0,1.0,0.3,0,,0,2,12.0,2,0.0,0.0,1.0,-1.0,-3.75,-2.99,0.6,0.2,0.4,1.32,1.88
553,Cole Campbell,USA,"MF,FW",Dortmund,de  Bundesliga,19-019,2006.0,4,22.0,6.0,1.0,0.2,0,,0,4,6.0,8,0.75,0.0,0.0,0.0,0.0,-0.24,0.2,0.6,-0.4,-1.48,-1.91
554,Emre Can,GER,"DF,MF",Dortmund,de  Bundesliga,31-058,1994.0,22,1593.0,72.0,70.8,17.7,18,84.0,14,4,21.0,0,1.41,30.0,24.0,6.0,0.34,0.34,31.3,18.8,12.5,0.71,0.99
555,Peio Canales,ESP,"MF,FW",Athletic Club,es  La Liga,20-053,2005.0,5,115.0,23.0,4.7,1.3,1,53.0,0,4,16.0,5,1.8,2.0,1.0,1.0,0.78,0.01,1.8,1.0,0.8,0.62,0.02
556,Matteo Cancellieri,ITA,"FW,MF",Parma,it  Serie A,23-027,2002.0,26,1421.0,55.0,56.4,15.8,19,65.0,2,7,25.0,1,0.92,16.0,26.0,-10.0,-0.63,-0.31,15.5,26.3,-10.8,-0.68,-0.42
557,Fali Candé,GNB,DF,Venezia,it  Serie A,27-046,1998.0,7,630.0,90.0,25.0,7.0,7,90.0,7,0,,0,0.57,4.0,8.0,-4.0,-0.57,0.14,5.8,9.6,-3.8,-0.54,0.14
558,Antonio Candela,ITA,DF,Venezia,it  Serie A,24-318,2000.0,14,1008.0,72.0,40.0,11.2,12,80.0,6,2,24.0,5,0.71,9.0,23.0,-14.0,-1.25,-0.95,9.6,18.5,-8.9,-0.79,-0.24
559,Antonio Candela,ITA,DF,Valladolid,es  La Liga,24-318,2000.0,4,269.0,67.0,11.1,3.0,4,67.0,1,0,,1,0.25,0.0,10.0,-10.0,-3.35,-1.93,0.9,4.9,-4.0,-1.32,-0.45
560,Thomas Cannon,IRL,FW,Leicester City,eng  Premier League,22-073,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
561,Sergi Canós,ESP,"MF,FW",Valencia,es  La Liga,28-037,1997.0,16,363.0,23.0,14.9,4.0,2,58.0,0,14,18.0,8,1.0,4.0,9.0,-5.0,-1.24,-0.8,5.7,6.1,-0.3,-0.08,0.29
562,Jaydee Canvot,FRA,"DF,MF",Toulouse,fr  Ligue 1,18-225,2006.0,12,729.0,61.0,32.4,8.1,8,85.0,4,4,13.0,3,1.08,8.0,11.0,-3.0,-0.37,-0.84,10.4,12.5,-2.1,-0.26,-0.95
563,Pierrick Capelle,FRA,MF,Angers,fr  Ligue 1,37-330,1987.0,14,416.0,30.0,18.5,4.6,3,74.0,0,11,18.0,10,1.43,8.0,9.0,-1.0,-0.22,0.42,9.2,6.6,2.6,0.57,1.31
564,Gianluca Caprari,ITA,"MF,FW",Monza,it  Serie A,31-224,1993.0,24,1054.0,44.0,41.8,11.7,12,72.0,1,12,16.0,0,0.58,12.0,18.0,-6.0,-0.51,0.65,11.0,17.0,-6.0,-0.52,0.16
565,Elia Caprile,ITA,GK,Cagliari,it  Serie A,23-198,2001.0,9,810.0,90.0,32.1,9.0,9,90.0,9,0,,0,1.0,10.0,11.0,-1.0,-0.11,0.63,7.8,12.7,-4.9,-0.54,-0.21
566,Elia Caprile,ITA,GK,Napoli,it  Serie A,23-198,2001.0,4,325.0,81.0,12.9,3.6,3,90.0,3,1,55.0,15,2.5,6.0,1.0,5.0,1.38,0.69,4.5,1.6,2.9,0.8,0.17
567,Gabin Capuano,FRA,FW,Lens,fr  Ligue 1,18-319,2006.0,1,11.0,11.0,0.5,0.1,0,,0,1,11.0,0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.1,0.0,-0.4,-0.6
568,Francesco Caputo,ITA,FW,Empoli,it  Serie A,37-217,1987.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,0,1.0,0.0,0.0,0.0,0.0,0.79,0.1,0.0,0.0,0.4,0.94
569,Maxence Caqueret,FRA,MF,Como,it  Serie A,25-024,2000.0,8,466.0,58.0,18.5,5.2,6,66.0,1,2,34.0,1,1.25,8.0,7.0,1.0,0.19,0.68,4.8,5.5,-0.7,-0.13,-0.22
570,Maxence Caqueret,FRA,MF,Lyon,fr  Ligue 1,25-024,2000.0,9,573.0,64.0,25.5,6.4,6,87.0,4,3,16.0,5,1.78,11.0,11.0,0.0,0.0,-0.81,9.9,9.9,0.0,0.0,-0.29
571,Simon Cara,FRA,MF,Montpellier,fr  Ligue 1,19-284,2005.0,1,6.0,6.0,0.3,0.1,0,,0,1,6.0,1,0.0,0.0,1.0,-1.0,-15.0,-13.52,0.1,1.3,-1.2,-18.59,-17.83
572,Andrea Carboni,ITA,DF,Monza,it  Serie A,24-035,2001.0,20,1666.0,83.0,66.1,18.5,19,85.0,14,1,52.0,6,0.65,18.0,29.0,-11.0,-0.59,0.88,15.6,23.7,-8.0,-0.43,0.52
573,Franco Carboni,ITA,DF,Venezia,it  Serie A,21-341,2003.0,7,181.0,26.0,7.2,2.0,2,62.0,0,5,12.0,18,0.57,2.0,1.0,1.0,0.5,1.27,2.0,3.1,-1.0,-0.52,0.14
574,Valentin Carboni,ARG,"MF,FW",Marseille,fr  Ligue 1,20-006,2005.0,4,103.0,26.0,4.6,1.1,1,45.0,0,3,19.0,2,1.25,0.0,1.0,-1.0,-0.87,-1.84,0.9,1.5,-0.7,-0.58,-1.17
575,Cárdenas,ESP,GK,Rayo Vallecano,es  La Liga,27-348,1997.0,5,450.0,90.0,18.5,5.0,5,90.0,5,0,,22,1.4,6.0,6.0,0.0,0.0,0.0,3.6,6.7,-3.0,-0.6,-0.82
576,Irvin Cardona,FRA,"FW,MF",Espanyol,es  La Liga,27-215,1997.0,16,606.0,38.0,24.9,6.7,5,68.0,0,11,24.0,2,0.94,7.0,5.0,2.0,0.3,0.99,7.0,6.0,1.0,0.15,1.2
577,Irvin Cardona,FRA,FW,Saint-Étienne,fr  Ligue 1,27-215,1997.0,6,376.0,63.0,16.7,4.2,4,72.0,1,2,45.0,0,0.33,7.0,12.0,-5.0,-1.2,0.1,6.1,14.3,-8.2,-1.96,-0.92
578,Marc Cardona,ESP,FW,Las Palmas,es  La Liga,29-246,1995.0,8,93.0,12.0,3.8,1.0,0,,0,8,12.0,15,0.88,2.0,4.0,-2.0,-1.94,-1.43,2.1,3.8,-1.7,-1.65,-0.77
579,Sergi Cardona,ESP,DF,Villarreal,es  La Liga,25-246,1999.0,25,2202.0,88.0,90.6,24.5,25,88.0,20,0,,0,1.69,45.0,34.0,11.0,0.45,0.05,42.8,27.9,14.9,0.61,-0.23
580,Johnny Cardoso,USA,MF,Betis,es  La Liga,23-172,2001.0,20,1534.0,77.0,63.1,17.0,17,87.0,14,3,20.0,2,1.65,24.0,20.0,4.0,0.23,0.44,23.7,24.5,-0.8,-0.05,-0.83
581,Tiago Cardoso,LUX,GK,Gladbach,de  Bundesliga,18-338,2006.0,1,90.0,90.0,4.0,1.0,1,90.0,1,0,,1,3.0,3.0,0.0,3.0,3.0,3.08,1.8,1.6,0.2,0.16,0.47
582,Patrik Carlgren,SWE,GK,Nantes,fr  Ligue 1,33-062,1992.0,3,270.0,90.0,12.0,3.0,3,90.0,3,0,,19,1.33,3.0,5.0,-2.0,-0.67,-0.08,3.1,5.0,-1.9,-0.64,-0.25
583,Diego Carlos,BRA,DF,Aston Villa,eng  Premier League,31-361,1993.0,10,830.0,83.0,31.8,9.2,8,90.0,8,2,55.0,7,1.3,14.0,15.0,-1.0,-0.11,0.04,13.8,11.8,2.0,0.22,0.26
584,Juan Carlos,ESP,GK,Girona,es  La Liga,37-050,1988.0,0,,,0.0,0.0,0,,0,0,,22,0.0,0.0,1.0,-1.0,,,,,,,
585,Carmona,ESP,DF,Sevilla,es  La Liga,23-041,2002.0,25,2178.0,87.0,89.6,24.2,25,87.0,19,0,,0,1.32,27.0,32.0,-5.0,-0.21,-0.56,25.7,31.5,-5.8,-0.24,0.28
586,Marco Carnesecchi,ITA,GK,Atalanta,it  Serie A,24-253,2000.0,25,2250.0,90.0,89.3,25.0,25,90.0,25,0,,1,2.04,53.0,25.0,28.0,1.12,-1.88,42.8,22.5,20.3,0.81,-0.22
587,Sergio Carreira,ESP,"MF,DF",Celta Vigo,es  La Liga,24-149,2000.0,14,957.0,68.0,39.4,10.6,11,81.0,8,3,21.0,7,1.36,15.0,12.0,3.0,0.28,0.53,12.1,11.5,0.7,0.06,-0.38
588,Scott Carson,ENG,GK,Manchester City,eng  Premier League,39-189,1985.0,0,,,,,0,,0,0,,13,,,,,,,,,,,
589,Henry Cartwright,ENG,MF,Leicester City,eng  Premier League,20-090,2004.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
590,Dani Carvajal,ESP,DF,Real Madrid,es  La Liga,33-059,1992.0,8,609.0,76.0,25.1,6.8,7,85.0,5,1,15.0,0,2.25,12.0,3.0,9.0,1.33,0.24,11.3,5.3,5.9,0.88,-0.06
591,Fabio Carvalho,POR,"FW,MF",Brentford,eng  Premier League,22-193,2002.0,19,455.0,24.0,18.1,5.1,3,81.0,0,16,13.0,6,1.47,9.0,14.0,-5.0,-0.99,-1.38,6.5,11.2,-4.7,-0.92,-1.14
592,William Carvalho,POR,MF,Betis,es  La Liga,32-338,1992.0,4,247.0,62.0,10.2,2.7,4,62.0,1,0,,0,1.25,1.0,1.0,0.0,0.0,-0.08,3.0,2.2,0.8,0.3,0.05
593,Cesare Casadei,ITA,MF,Chelsea,eng  Premier League,22-060,2003.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
594,Cesare Casadei,ITA,MF,Torino,it  Serie A,22-060,2003.0,5,325.0,65.0,12.9,3.6,4,76.0,1,1,20.0,0,1.6,6.0,4.0,2.0,0.55,0.68,2.7,6.2,-3.5,-0.98,-0.59
595,Marc Casado,ESP,MF,Barcelona,es  La Liga,21-178,2003.0,22,1545.0,70.0,63.6,17.2,19,78.0,10,3,19.0,3,2.09,49.0,13.0,36.0,2.1,1.08,43.2,18.5,24.7,1.44,0.38
596,Nicolò Casale,ITA,DF,Bologna,it  Serie A,27-025,1998.0,11,599.0,54.0,23.8,6.7,6,81.0,4,5,23.0,13,2.09,10.0,10.0,0.0,0.0,-0.47,7.5,5.8,1.7,0.26,-0.17
597,Nicolò Casale,ITA,DF,Lazio,it  Serie A,27-025,1998.0,2,135.0,68.0,5.4,1.5,2,68.0,1,0,,0,1.5,3.0,2.0,1.0,0.67,0.18,2.6,0.9,1.7,1.16,0.72
598,Casemiro,BRA,MF,Manchester Utd,eng  Premier League,33-016,1992.0,18,1101.0,61.0,43.7,12.2,13,76.0,5,5,21.0,10,1.28,15.0,18.0,-3.0,-0.25,-0.05,17.1,20.4,-3.3,-0.27,-0.14
599,Kaelan Casey,ENG,DF,West Ham,eng  Premier League,20-134,2004.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,1.0,0.0,0.0,0.0,0.0,0.57,0.1,0.1,0.0,1.74,2.12
600,Matty Cash,POL,"DF,FW",Aston Villa,eng  Premier League,27-216,1997.0,19,1396.0,73.0,53.5,15.5,16,80.0,11,3,38.0,1,1.58,22.0,18.0,4.0,0.26,0.85,20.9,20.8,0.1,0.01,-0.07
601,Eiran Cashin,IRL,DF,Brighton,eng  Premier League,23-122,2001.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
602,Josué Casimir,FRA,"MF,FW",Le Havre,fr  Ligue 1,23-168,2001.0,18,1219.0,68.0,54.2,13.5,14,82.0,5,4,18.0,0,1.0,16.0,25.0,-9.0,-0.66,0.91,14.6,23.9,-9.3,-0.68,-0.06
603,Federico Cassa,ITA,"MF,FW",Atalanta,it  Serie A,19-038,2006.0,2,14.0,7.0,0.6,0.2,0,,0,2,7.0,4,1.5,0.0,0.0,0.0,0.0,-1.33,1.0,0.2,0.8,4.98,4.17
604,Tommaso Cassandro,ITA,DF,Como,it  Serie A,25-061,2000.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
605,Dante Cassanova,JAM,DF,Tottenham,eng  Premier League,20-263,2004.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
606,Cristian Cásseres Jr.,VEN,MF,Toulouse,fr  Ligue 1,25-050,2000.0,23,1905.0,83.0,84.7,21.2,22,85.0,13,1,33.0,0,1.39,28.0,22.0,6.0,0.28,0.54,30.6,21.8,8.8,0.41,0.23
607,Marco Cassin,ITA,GK,Udinese,it  Serie A,16-338,2008.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
608,Timothy Castagne,BEL,DF,Fulham,eng  Premier League,29-096,1995.0,18,1252.0,70.0,49.7,13.9,13,89.0,12,5,19.0,8,1.44,24.0,21.0,3.0,0.22,0.22,19.5,15.5,4.0,0.29,0.09
609,Valentín Castellanos,ARG,FW,Lazio,it  Serie A,26-159,1998.0,22,1774.0,81.0,70.4,19.7,21,83.0,11,1,31.0,0,2.05,38.0,21.0,17.0,0.86,1.22,33.0,17.1,15.9,0.81,1.1
610,Jean-Charles Castelletto,CMR,"DF,MF",Nantes,fr  Ligue 1,30-044,1995.0,23,2007.0,87.0,89.2,22.3,23,87.0,21,0,,0,0.91,25.0,35.0,-10.0,-0.45,1.4,28.4,33.9,-5.6,-0.25,1.51
611,Santiago Castro,ARG,FW,Bologna,it  Serie A,20-163,2004.0,28,2040.0,73.0,81.0,22.7,24,80.0,9,4,28.0,0,1.79,32.0,25.0,7.0,0.31,-0.25,28.9,24.0,4.9,0.22,-0.87
612,Gaetano Castrovilli,ITA,"MF,FW",Monza,it  Serie A,28-022,1997.0,4,145.0,36.0,5.8,1.6,1,66.0,0,3,26.0,1,0.0,3.0,5.0,-2.0,-1.24,-0.37,1.6,3.1,-1.5,-0.93,-0.34
613,Gaetano Castrovilli,ITA,"MF,FW",Lazio,it  Serie A,28-022,1997.0,9,148.0,16.0,5.9,1.6,1,60.0,0,8,11.0,10,1.78,3.0,4.0,-1.0,-0.61,-1.18,3.7,3.2,0.5,0.31,-0.18
614,Català,ESP,DF,Espanyol,es  La Liga,20-207,2004.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
615,Danilo Cataldi,ITA,MF,Fiorentina,it  Serie A,30-217,1994.0,19,1206.0,63.0,47.9,13.4,17,69.0,4,2,21.0,0,1.42,21.0,17.0,4.0,0.3,-0.32,18.7,14.7,4.0,0.3,0.23
616,Danilo Cataldi,ITA,MF,Lazio,it  Serie A,30-217,1994.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
617,Catena,ESP,DF,Osasuna,es  La Liga,30-134,1994.0,24,2142.0,89.0,88.1,23.8,24,89.0,23,0,,1,1.28,31.0,35.0,-4.0,-0.17,0.14,26.4,34.4,-8.0,-0.34,-0.25
618,Maximiliano Caufriez,BEL,DF,Valencia,es  La Liga,28-023,1997.0,1,90.0,90.0,3.7,1.0,1,90.0,1,0,,10,1.0,1.0,1.0,0.0,0.0,0.58,0.7,2.2,-1.5,-1.48,-1.2
619,Dani Ceballos,ESP,MF,Real Madrid,es  La Liga,28-216,1996.0,15,832.0,55.0,34.2,9.2,10,76.0,2,5,15.0,6,2.33,20.0,5.0,15.0,1.62,0.72,21.1,8.3,12.9,1.39,0.71
620,Abdoulie Ceesay,GAM,FW,St. Pauli,de  Bundesliga,21-065,2004.0,6,52.0,9.0,2.3,0.6,0,,0,6,9.0,4,0.5,1.0,1.0,0.0,0.0,0.45,1.3,1.4,-0.1,-0.15,0.15
621,Nidal Celik,BIH,DF,Lens,fr  Ligue 1,18-237,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
622,Zeki Çelik,TUR,DF,Roma,it  Serie A,28-022,1997.0,23,1570.0,68.0,62.3,17.4,19,77.0,11,4,26.0,3,1.43,15.0,20.0,-5.0,-0.29,-1.99,17.7,20.2,-2.5,-0.14,-1.31
623,Fabien Centonze,FRA,DF,Nantes,fr  Ligue 1,29-054,1996.0,2,78.0,39.0,3.5,0.9,1,45.0,0,1,33.0,2,0.5,1.0,2.0,-1.0,-1.15,-0.57,1.0,2.5,-1.5,-1.73,-1.37
624,Alberto Cerri,ITA,FW,Como,it  Serie A,28-329,1996.0,5,87.0,17.0,3.5,1.0,0,,0,5,17.0,8,0.2,0.0,4.0,-4.0,-4.14,-3.92,1.7,1.2,0.6,0.6,0.57
625,Franco Cervi,ARG,"FW,MF",Celta Vigo,es  La Liga,30-289,1994.0,6,258.0,43.0,10.6,2.9,4,60.0,0,2,10.0,15,1.17,2.0,5.0,-3.0,-1.05,-1.13,1.8,4.2,-2.4,-0.84,-1.27
626,Julian Chabot,GER,DF,Stuttgart,de  Bundesliga,27-027,1998.0,22,1629.0,74.0,72.4,18.1,19,84.0,13,3,11.0,0,1.59,31.0,27.0,4.0,0.22,0.08,32.4,23.6,8.8,0.49,0.79
627,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,de  Bundesliga,19-299,2005.0,14,555.0,40.0,24.7,6.2,6,77.0,3,8,12.0,6,1.5,6.0,6.0,0.0,0.0,-0.32,7.5,9.4,-1.9,-0.31,-0.28
628,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,de  Bundesliga,22-103,2002.0,17,712.0,42.0,31.6,7.9,7,72.0,0,10,21.0,4,1.65,14.0,19.0,-5.0,-0.63,-1.63,16.4,12.5,3.9,0.49,0.25
629,Trevoh Chalobah,ENG,DF,Crystal Palace,eng  Premier League,25-249,1999.0,12,1060.0,88.0,42.1,11.8,12,88.0,9,0,,2,1.42,13.0,13.0,0.0,0.0,-0.18,16.6,15.2,1.4,0.12,-0.34
630,Trevoh Chalobah,ENG,DF,Chelsea,eng  Premier League,25-249,1999.0,6,296.0,49.0,11.7,3.3,4,69.0,3,2,10.0,0,1.5,4.0,7.0,-3.0,-0.91,-1.72,5.8,5.0,0.8,0.25,-0.4
631,Timothy Chandler,USA,DF,Eint Frankfurt,de  Bundesliga,34-347,1990.0,2,19.0,10.0,0.8,0.2,0,,0,2,10.0,6,2.0,0.0,1.0,-1.0,-4.74,-5.26,0.3,0.9,-0.6,-3.03,-3.37
632,Conor Chaplin,ENG,"MF,FW",Ipswich Town,eng  Premier League,28-023,1997.0,15,614.0,41.0,24.4,6.8,7,73.0,1,8,13.0,4,0.53,6.0,12.0,-6.0,-0.88,0.35,7.4,14.3,-7.0,-1.03,0.02
633,Brendan Chardonnet,FRA,DF,Brest,fr  Ligue 1,30-079,1994.0,22,1966.0,89.0,87.4,21.8,22,89.0,21,0,,3,1.45,34.0,37.0,-3.0,-0.14,-0.45,31.9,36.0,-4.1,-0.19,0.29
634,Gabriel Charpentier,CGO,FW,Parma,it  Serie A,25-298,1999.0,10,271.0,27.0,10.8,3.0,0,,0,10,27.0,0,1.0,5.0,6.0,-1.0,-0.33,0.19,5.9,5.8,0.1,0.04,0.6
635,Raúl Chasco,ESP,DF,Valladolid,es  La Liga,21-179,2003.0,2,130.0,65.0,5.3,1.4,1,90.0,1,1,40.0,20,1.5,4.0,4.0,0.0,0.0,1.72,2.7,2.4,0.3,0.23,1.22
636,Anrie Chase,JPN,DF,Stuttgart,de  Bundesliga,20-352,2004.0,12,734.0,61.0,32.6,8.2,7,90.0,7,5,21.0,3,1.58,16.0,12.0,4.0,0.49,0.43,16.6,13.0,3.6,0.44,0.25
637,Pep Chavarría,ESP,DF,Rayo Vallecano,es  La Liga,26-335,1998.0,23,1740.0,76.0,71.6,19.3,19,86.0,17,4,26.0,2,1.35,21.0,23.0,-2.0,-0.1,-0.36,26.7,20.7,6.0,0.31,0.85
638,Arthur Chaves,BRA,DF,Hoffenheim,de  Bundesliga,24-041,2001.0,18,1474.0,82.0,65.5,16.4,16,87.0,13,2,42.0,2,1.28,20.0,27.0,-7.0,-0.43,0.5,19.9,24.9,-5.0,-0.31,0.33
