,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
197,Theo Bair,CAN,FW,Auxerre,fr  Ligue 1,25-196,1999.0,8.0,168,161,7,0,0,1,7,1,0,0,0,0,103,0,4
198,Stefan Bajcetic,ESP,"MF,DF",Las Palmas,es  La Liga,20-140,2004.0,4.5,153,144,7,4,0,4,1,2,0,0,0,0,106,2,3
199,Cédric Bakambu,COD,FW,Betis,es  La Liga,33-334,1991.0,5.9,89,85,3,0,1,0,2,0,0,0,0,0,58,1,4
200,Mitchel Bakker,NED,MF,Atalanta,it  Serie A,24-264,2000.0,0.2,9,8,1,0,0,0,1,0,1,0,1,0,7,0,0
201,Mitchel Bakker,NED,"DF,FW",Lille,fr  Ligue 1,24-264,2000.0,8.5,472,423,48,6,1,1,56,27,15,5,8,0,374,1,10
202,Darryl Bakola,FRA,DF,Marseille,fr  Ligue 1,17-101,2007.0,0.1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
203,Ridle Baku,GER,"FW,MF",Wolfsburg,de  Bundesliga,26-337,1998.0,13.0,514,467,46,6,3,2,37,40,0,0,0,0,381,1,22
204,Ridle Baku,GER,"DF,MF",RB Leipzig,de  Bundesliga,26-337,1998.0,7.9,360,280,79,4,0,2,23,75,0,0,0,0,263,1,14
205,Dilane Bakwa,FRA,"MF,DF",Strasbourg,fr  Ligue 1,22-197,2002.0,20.3,777,664,108,42,7,10,107,26,40,18,18,0,558,5,17
206,Tommaso Baldanzi,ITA,"MF,FW",Roma,it  Serie A,21-353,2003.0,6.7,274,259,13,2,2,1,6,8,0,0,0,0,229,2,10
207,Alejandro Balde,ESP,DF,Barcelona,es  La Liga,21-144,2003.0,19.9,1137,974,159,26,2,2,56,133,0,0,0,0,989,4,23
208,Keita Baldé,SEN,"FW,MF",Monza,it  Serie A,30-003,1995.0,2.1,66,63,3,1,0,0,3,1,1,0,0,0,60,0,1
